housing_type,price,size,price_per_sq,rooms,neighbourhood,website,date
mieszkanie,1140000,54.36,20971.3,1,Mokotów,Domiporta,8/11/2023
mieszkanie,976320,36.42,26807.25,1,Mokotów,Domiporta,8/11/2023
mieszkanie,2599120,66.78,38920.63,3,Mokotów,Domiporta,8/11/2023
mieszkanie,1741950,83.89,20764.69,4,Mokotów,Domiporta,8/11/2023
mieszkanie,785000,49.0,16020.41,2,Mokotów,Domiporta,8/11/2023
mieszkanie,969000,69.5,13942.45,4,Ursynów,Domiporta,8/11/2023
mieszkanie,799000,61.7,12949.76,3,Bemowo,Domiporta,8/11/2023
mieszkanie,2150000,107.0,20093.46,4,Ochota,Domiporta,8/11/2023
mieszkanie,800000,64.7,12364.76,3,Praga,Domiporta,8/11/2023
mieszkanie,819000,83.75,9779.1,4,Rembertów,Domiporta,8/11/2023
mieszkanie,749000,64.9,11540.83,3,Andersena,Domiporta,8/11/2023
mieszkanie,799000,51.62,15478.5,3,mokot,Domiporta,8/11/2023
mieszkanie,889000,49.48,17966.86,3,Wola,Domiporta,8/11/2023
mieszkanie,678600,39.0,17400.0,2,Mokotów,Domiporta,8/11/2023
mieszkanie,1150000,85.0,13529.0,3,Ursynów,Morizon,8/11/2023
mieszkanie,2480000,108.0,22963.0,4,Stary Mokotów,Morizon,8/11/2023
mieszkanie,644000,46.0,13849.0,3,Praga-Południe,Morizon,8/11/2023
mieszkanie,649000,52.0,12266.0,3,Ursynów,Morizon,8/11/2023
mieszkanie,1049000,79.0,13228.0,4,Praga-Południe,Morizon,8/11/2023
mieszkanie,1020000,53.0,19065.0,3,Służewiec,Morizon,8/11/2023
mieszkanie,670000,42.0,15952.0,2,Nowolipki,Morizon,8/11/2023
mieszkanie,840000,56.0,14947.0,3,Mokotów,Morizon,8/11/2023
kawalerka,550000,21.0,25311.0,1,Mokotów,Morizon,8/11/2023
mieszkanie,839000,64.0,12928.0,3,Ursynów,Morizon,8/11/2023
mieszkanie,680000,62.0,10932.0,4,Niedźwiadek,Morizon,8/11/2023
mieszkanie,1100000,77.0,14286.0,3,Targówek,Morizon,8/11/2023
mieszkanie,3000000,135.0,22222.0,5,Mokotów,Morizon,8/11/2023
mieszkanie,1299000,66.0,19537.0,3,Wilanów,Morizon,8/11/2023
mieszkanie,2750000,109.0,25091.0,3,Żoliborz,Morizon,8/11/2023
mieszkanie,1120000,81.0,13803.0,4,Włochy,Morizon,8/11/2023
mieszkanie,1300000,77.0,16740.0,4,Ochota,Morizon,8/11/2023
mieszkanie,880000,50.0,17485.0,2,Muranów,Morizon,8/11/2023
mieszkanie,2000000,104.0,19231.0,5,Wilanów,Morizon,8/11/2023
mieszkanie,929000,73.0,12593.0,6,Gocław,Morizon,8/11/2023
mieszkanie,1250000,47.0,26596.0,2,Śródmieście,Morizon,8/11/2023
mieszkanie,675000,40.0,16646.0,2,Wola,Morizon,8/11/2023
mieszkanie,1650000,61.0,26829.0,2,Śródmieście,Morizon,8/11/2023
mieszkanie,1850283,77.0,23850.0,3,Stary Żoliborz,Morizon,8/11/2023
mieszkanie,800000,49.98,16006.4,2,Praga,Domiporta,9/11/2023
mieszkanie,730000,62.0,11774.19,3,Praga,Domiporta,9/11/2023
mieszkanie,819000,83.75,9779.1,4,Rembertów,Domiporta,9/11/2023
mieszkanie,678600,39.0,17400.0,2,Mokotów,Domiporta,9/11/2023
mieszkanie,799000,52.1,15335.89,2,Ochota,Domiporta,9/11/2023
mieszkanie,500000,28.0,17857.14,1,Mokotów,Domiporta,9/11/2023
